"species","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Abert's Towhee",-0.1,-2,1.6,0.56,0.9,0.1,1.6,0.8,-0.9,2.3
"Acadian Flycatcher",0.3,-0.3,1,0.15,-0.2,-0.4,-0.1,0.1,-0.5,0.7
"Acorn Woodpecker",0.6,-0.6,2.4,0.19,0.4,-0.1,0.9,1,0,2.5
"Alder Flycatcher",0.3,-0.4,1,0.23,-0.7,-1,-0.5,-0.5,-1,0.2
"Allen's Hummingbird",0.2,-1.7,2.6,0.46,-3.5,-4.3,-2.5,-3.3,-5.1,-1.1
"American Avocet",0.4,-0.9,2.2,0.29,0.4,-0.2,1,0.8,-0.3,2.3
"American Bittern",1.6,0.2,3.1,0.01,-0.9,-1.3,-0.5,0.7,-0.5,1.9
"American Black Duck",0.7,-0.6,2.7,0.18,-1.1,-1.7,-0.6,-0.4,-1.7,1.3
"American Coot",1.4,-2.8,6,0.26,-0.3,-1.4,0.8,1.2,-2.5,5.1
"American Crow",-0.2,-0.7,0.3,0.82,0.1,0,0.2,-0.1,-0.6,0.3
"American Dipper",0.2,-0.7,1.3,0.3,-0.4,-0.8,-0.1,-0.2,-1,0.8
"American Golden-Plover",-0.7,-4.3,2,0.68,-1.5,-2.7,-0.3,-2.2,-5.3,0.2
"American Goldfinch",-0.6,-1.3,0.1,0.95,0,-0.2,0.2,-0.6,-1.2,0
"American Kestrel",0.2,-0.3,0.7,0.22,-1.2,-1.3,-1,-1,-1.4,-0.5
"American Oystercatcher",0,-2.3,2.3,0.52,0.9,-0.1,1.9,0.8,-1.3,2.8
"American Pipit",1.3,-0.9,3.2,0.09,-0.7,-1.3,-0.1,0.6,-1.3,2.2
"American Redstart",0.5,-0.2,1.4,0.1,-0.3,-0.5,-0.1,0.2,-0.5,0.9
