"","species","English_Common_Name","firstyear","lastyear","ave.ind","max.ind","RCI","Uncertain","conv","u","u.lowCI","u.upCI","R","R.lowCI","R.upCI","Q","Q.lowCI","Q.upCI","predicted_year","qe.pred_50","p.30_percent_decline_50_years","y.hl.30_percent_decline","p.50_percent_decline_50_years","y.hl.50_percent_decline","p.70_percent_decline_50_years","y.hl.70_percent_decline"
"1","Abert's Towhee","Abert's Towhee",1970,2017,1.15324510416667,1.662156,1.35566451130061,FALSE,0,0.00931487314085053,0.00758786762274826,0.0110418786589528,0.0062087500986035,0.0034947930877955,0.00892270710941149,0,-4.46271436614669e-05,4.46271436614669e-05,2067,0,0,NA,0,NA,0,NA
"49","Acadian Flycatcher","Acadian Flycatcher",1970,2017,2.0169748125,2.212186,0.23746097579421,FALSE,0,-0.00173608049557718,-0.00466234153375127,0.00119018054259692,0.000142557972910617,4.02155332282963e-05,0.000244900412592938,0.00010083537805872,-1.4284607811034e-06,0.000203099216898544,2067,0,0,NA,0,NA,0,NA
"97","Acorn Woodpecker","Acorn Woodpecker",1970,2017,12.5098131666667,16.272782,0.691700983560024,FALSE,0,0.00606665141318709,-0.0098458671367627,0.0219791699631369,0.0023950174244101,0.000293457074704402,0.0044965777741158,0.00302856569695025,0.000308544098502936,0.00574858729539757,2067,0,0.294,NA,0.094,NA,0.007,NA
"145","Alder Flycatcher","Alder Flycatcher",1970,2017,8.58961797916667,10.816131,0.273461613363577,FALSE,0,-0.00719432604076463,-0.00816714796958897,-0.00622150411194029,0.00116019017900647,0.000670843003028783,0.00164953735498416,0,-6.32485038498294e-06,6.32485038498294e-06,2067,0,0.566,50,0,NA,0,NA
"193","Allen's Hummingbird","Allen's Hummingbird",1970,2017,1.8684136875,3.924528,1.76960001331093,FALSE,0,-0.0360847563279227,-0.0367624023672121,-0.0354071102886333,0.000472703063889265,0.000267674267504569,0.000677731860273962,0,-3.232363255158e-06,3.232363255158e-06,2067,0,1,10,1,20,1,34
"241","American Avocet","American Avocet",1970,2017,1.4382226875,1.888875,1.25780447772246,FALSE,0,0.00565193963659727,0.00118610442130152,0.010117774851893,0.00126854649779971,0.000602209100659198,0.00193488389494023,0.000220638310133323,-8.22779942901008e-05,0.000523554614556746,2067,0,0.05,NA,0,NA,0,NA
"289","American Bittern","American Bittern",1970,2017,0.496188979166667,0.719967,0.472748572218622,FALSE,0,-0.00596545842899192,-0.0180657573106274,0.00613484045264355,0.00830760049311996,0.00395294904308446,0.0126622519431555,0.00165335729733098,-0.000444931515957838,0.0037516461106198,2067,0,0.569,44,0.127,NA,0.001,NA
"337","American Black Duck","American Black Duck",1970,2017,0.272695854166667,0.387615,0.918599187653626,FALSE,0,-0.0115099307094286,-0.0175474855640943,-0.00547237585476294,0.000984023124192492,0.000383661755618639,0.00158438449276635,0.000425037214391418,-3.44717803461014e-05,0.000884546209128937,2067,0,0.953,30,0.243,NA,0,NA
"385","American Coot","American Coot",1970,2017,5.34771145833333,11.031464,0.893448431168245,FALSE,0,-0.00555578683965213,-0.0782622380659079,0.0671506643866037,0.00208489596826326,-0.0172731760918379,0.0214429680283645,0.064590368226685,0.0193648844857347,0.109815851967635,2067,0.001,0.867,5,0.74,15,0.555,40
"433","American Crow","American Crow",1970,2017,23.2005518333333,25.444494,0.0666568615707745,FALSE,0,0.000304000917041553,-0.00442177311954793,0.00502977495363104,1.27988648608672e-05,-7.14117312652643e-05,9.70094609869986e-05,0.000272681362096088,7.9682279596397e-05,0.000465680444595779,2067,0,0.002,NA,0,NA,0,NA
